title,vote_average,vote_count,genres
The Mother of Tears,4.1,135.0,['Horror']
The Spirit,4.7,323.0,"['Action', 'Comedy', 'Thriller', 'Crime', 'Science Fiction']"
John Adams,7.6,70.0,"['History', 'Drama']"
Tobacco Road,6.8,12.0,"['Comedy', 'Drama']"
Oh! What a Lovely War,6.4,12.0,"['War', 'Comedy', 'Music']"
The Burning Plain,6.6,104.0,"['Drama', 'Romance']"
Bangkok Dangerous,5.0,336.0,"['Action', 'Crime', 'Thriller']"
The Boys in Company C,6.2,29.0,"['Drama', 'War']"
A Secret,6.7,41.0,['Drama']
Flash Point,6.8,70.0,['Action']
The Fifth Commandment,5.2,12.0,"['Adventure', 'Action', 'Thriller', 'Crime']"
The Subtenant,5.0,11.0,['Comedy']
Pu-239,6.8,12.0,['Drama']
Dark Blue Almost Black,6.7,23.0,['Drama']
The Foot Fist Way,6.0,35.0,['Comedy']
Altered,5.0,61.0,"['Horror', 'Science Fiction', 'Thriller']"
Righteous Kill,5.9,382.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Lakeview Terrace,5.9,294.0,"['Drama', 'Crime', 'Thriller']"
Shadows in Paradise,7.1,35.0,"['Drama', 'Comedy']"
Ghost Town,6.4,288.0,"['Comedy', 'Fantasy', 'Romance']"
Maradona by Kusturica,5.8,18.0,['Documentary']
Import/Export,6.5,20.0,['Drama']
The Crow IV: Wicked Prayer,3.1,46.0,"['Action', 'Horror', 'Thriller']"
In Bed,5.1,14.0,"['Drama', 'Romance']"
Freebie and the Bean,6.8,12.0,"['Action', 'Comedy', 'Crime']"
Sawdust and Tinsel,7.3,35.0,['Drama']
100 Feet,5.6,96.0,"['Horror', 'Thriller']"
Boot Camp,6.1,66.0,"['Drama', 'Thriller']"
On the Beach,6.1,23.0,"['Drama', 'Science Fiction']"
An Autumn Afternoon,7.9,40.0,['Drama']
Appaloosa,6.3,305.0,"['Drama', 'Western', 'Crime']"
Miracle at St. Anna,6.3,90.0,"['Drama', 'War']"
So Normal,6.4,26.0,['Comedy']
The Steamroller and the Violin,6.4,23.0,"['Family', 'Drama']"
1984,7.0,23.0,"['Drama', 'Science Fiction']"
Dead Man's Letters,6.9,25.0,"['Science Fiction', 'Drama']"
Eagle Eye,6.3,1038.0,"['Mystery', 'Thriller', 'Action']"
How to Lose Friends & Alienate People,6.2,247.0,"['Comedy', 'Romance', 'Drama']"
Six Shooter,7.5,42.0,['Comedy']
Nights in Rodanthe,5.9,160.0,"['Drama', 'Romance']"
Look Back in Anger,7.1,16.0,['Drama']
Nick and Norah's Infinite Playlist,6.4,387.0,"['Comedy', 'Music', 'Romance']"
Martyrs,7.3,581.0,"['Horror', 'Drama', 'Thriller']"
Sound of the Mountain,6.8,16.0,['Drama']
Red,6.9,51.0,"['Drama', 'Thriller']"
The Music Room,7.7,31.0,"['Music', 'Drama']"
Gomorrah,6.7,228.0,"['Drama', 'Crime']"
The Accidental Husband,5.2,179.0,"['Comedy', 'Romance']"
KM 31: Kilometer 31,5.2,23.0,"['Thriller', 'Horror', 'Mystery']"
The Duchess,6.7,406.0,"['Drama', 'History', 'Romance']"
Alone in the Dark 2,3.1,23.0,"['Action', 'Fantasy', 'Horror']"
Dead Leaves,7.4,27.0,"['Science Fiction', 'Animation', 'Comedy', 'Crime']"
Rachel Getting Married,6.1,165.0,['Drama']
Body of Lies,6.5,919.0,"['Action', 'Drama', 'Thriller']"
City of Ember,6.2,614.0,"['Adventure', 'Family', 'Fantasy']"
Magicians,6.2,25.0,['Comedy']
Ace High,6.1,28.0,"['Action', 'Comedy', 'Western']"
Max Payne,5.2,625.0,['Action']
Zack and Miri Make a Porno,6.1,734.0,['Comedy']
W.,6.0,144.0,"['Drama', 'History']"
My Best Friend's Girl,5.4,223.0,"['Romance', 'Comedy']"
"Synecdoche, New York",7.4,286.0,['Drama']
The Drowning Pool,6.5,21.0,"['Drama', 'Mystery', 'Thriller']"
The Secret Life of Bees,7.4,159.0,['Adventure']
Flash of Genius,6.3,61.0,['Drama']
An American Carol,4.1,20.0,"['Comedy', 'Fantasy']"
The Banishment,6.8,22.0,['Drama']
The Wave,7.5,870.0,"['Drama', 'Thriller']"
Two Worlds,4.7,32.0,"['Comedy', 'Fantasy']"
Tokyo-Ga,6.8,13.0,['Documentary']
"Angus, Thongs and Perfect Snogging",6.4,231.0,"['Comedy', 'Drama', 'Family', 'Romance']"
The Family That Preys,5.9,15.0,"['Drama', 'Romance']"
The Flight Before Christmas,5.4,28.0,"['Animation', 'Family', 'Adventure', 'Drama', 'Fantasy']"
Quarantine,5.6,343.0,"['Horror', 'Science Fiction', 'Thriller']"
Black Moon,6.8,39.0,"['Fantasy', 'Science Fiction']"
Lost Boys: The Tribe,4.6,48.0,"['Crime', 'Drama', 'Horror', 'Thriller']"
Pride and Glory,6.3,243.0,"['Thriller', 'Crime', 'Drama']"
Fifty Pills,5.3,15.0,['Comedy']
The Express,7.1,71.0,['Drama']
Lone Wolf and Cub: Baby Cart to Hades,6.7,30.0,"['Drama', 'Action']"
Lone Wolf and Cub: Baby Cart in Peril,6.9,29.0,"['Action', 'Foreign']"
Babylon 5: The Legend of the Rangers - To Live and Die in Starlight,5.9,27.0,"['Science Fiction', 'Adventure', 'Action']"
Babylon 5: The Lost Tales - Voices in the Dark,6.4,29.0,"['Action', 'Adventure', 'Science Fiction']"
The Love of Siam,6.9,19.0,['Drama']
RockNRolla,6.9,851.0,"['Action', 'Crime', 'Thriller']"
High School Musical 3: Senior Year,6.1,858.0,"['Comedy', 'Drama', 'Family', 'Music', 'Romance']"
Futurama: Bender's Game,6.9,152.0,"['Animation', 'Comedy', 'Science Fiction']"
Tin Man,6.6,57.0,"['Adventure', 'Fantasy', 'Science Fiction']"
Into the West,7.8,15.0,"['Adventure', 'Drama', 'Western']"
The Adventures of Tom Sawyer,6.7,11.0,"['Family', 'Adventure']"
Madagascar: Escape 2 Africa,6.2,1866.0,"['Family', 'Animation']"
Admiral,6.8,41.0,"['Drama', 'War', 'History']"
Blindness,6.4,393.0,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']"
Changeling,7.3,1151.0,"['Crime', 'Drama', 'Mystery']"
Guinea Pig 2: Flower of Flesh and Blood,4.8,31.0,['Horror']
The Road,6.8,1113.0,"['Adventure', 'Drama']"
Slumdog Millionaire,7.6,2918.0,"['Drama', 'Romance']"
Quantum of Solace,6.1,3015.0,"['Adventure', 'Action', 'Thriller', 'Crime']"
Role Models,6.4,575.0,['Comedy']
Tokyo!,6.9,31.0,"['Romance', 'Drama']"
Tokyo Gore Police,5.8,84.0,"['Adventure', 'Horror', 'Action', 'Science Fiction']"
Sauna,6.3,33.0,['Horror']
Chaotic Ana,6.9,19.0,"['Comedy', 'Drama']"
JCVD,6.6,155.0,"['Drama', 'Action', 'Comedy', 'Crime']"
Cinderella,6.1,28.0,"['TV Movie', 'Family', 'Fantasy', 'Music', 'Romance']"
Crows Zero,7.0,77.0,['Action']
The War Lord,5.9,13.0,"['Drama', 'History', 'Romance', 'War', 'Adventure']"
Krabat and the Legend of the Satanic Mill,6.1,63.0,"['Action', 'Fantasy', 'Horror']"
Christmas Story,7.3,26.0,"['Drama', 'Family']"
The Guard Post,5.7,20.0,"['Horror', 'Mystery']"
Goyokin,7.2,11.0,"['Drama', 'Action', 'Foreign']"
Camp Rock,6.0,432.0,"['Comedy', 'Drama', 'Family', 'Music', 'TV Movie']"
Farscape: The Peacekeeper Wars,7.5,74.0,"['Action', 'Comedy', 'Romance', 'Science Fiction', 'Thriller']"
Saw V,6.0,848.0,"['Horror', 'Thriller', 'Crime']"
A Christmas Tale,6.7,31.0,"['Drama', 'Comedy']"
Critters 4,4.3,46.0,"['Comedy', 'Horror', 'Science Fiction', 'Thriller']"
Sex Drive,6.0,348.0,"['Comedy', 'Adventure', 'Romance']"
Soul Men,6.3,47.0,"['Comedy', 'Music']"
While She Was Out,4.8,36.0,"['Action', 'Adventure', 'Drama', 'Horror', 'Thriller']"
The Island,6.5,38.0,['Drama']
Beverly Hills Chihuahua,4.9,217.0,"['Adventure', 'Comedy', 'Family']"
The Free Will,6.6,11.0,"['Crime', 'Drama']"
Hanzo the Razor: Sword of Justice,6.0,15.0,"['Foreign', 'Action', 'Drama']"
The Face of Another,7.6,49.0,"['Drama', 'Science Fiction']"
Three Monkeys,6.6,34.0,"['Drama', 'Thriller']"
Bellissima,7.4,23.0,"['Comedy', 'Drama']"
The Dirty Dozen: Next Mission,3.9,11.0,"['Action', 'War']"
Wagon Master,6.2,20.0,"['Action', 'Western']"
The Class,6.9,179.0,['Drama']
Splinter,6.0,213.0,"['Horror', 'Thriller']"
Australia,6.3,712.0,['Drama']
Bolt,6.3,1798.0,"['Animation', 'Family', 'Adventure', 'Comedy']"
Milk,7.1,628.0,"['History', 'Drama']"
The Devil-Doll,6.7,22.0,"['Horror', 'Science Fiction']"
Twilight,5.8,3688.0,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
The Children,6.3,116.0,"['Horror', 'Mystery', 'Thriller']"
Transporter 3,5.9,1110.0,"['Action', 'Adventure', 'Thriller', 'Crime']"
Four Christmases,5.3,337.0,"['Comedy', 'Romance', 'Drama']"
The Boy in the Striped Pyjamas,7.7,1492.0,"['War', 'Drama']"
Surveillance,6.0,111.0,"['Horror', 'Thriller', 'Mystery']"
Fireproof,7.0,100.0,['Drama']
Igor,5.6,154.0,"['Animation', 'Comedy', 'Family', 'Fantasy']"
The Devil's Chair,4.1,21.0,['Horror']
Dinotopia,5.8,71.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Science Fiction']"
Hunger,7.2,311.0,"['Drama', 'History']"
Cadillac Records,6.9,89.0,"['Drama', 'History', 'Music']"
Punisher: War Zone,5.6,298.0,"['Action', 'Crime']"
The Guyver,5.5,30.0,"['Action', 'Fantasy', 'Science Fiction']"
Flashbacks of a Fool,7.1,43.0,['Drama']
Charulata,7.2,26.0,"['Drama', 'Romance']"
Shrek the Halls,5.8,179.0,"['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']"
The Lovers,6.5,15.0,"['Romance', 'Drama']"
The Pervert's Guide to Cinema,7.2,40.0,['Documentary']
A Matter of Loaf and Death,7.2,120.0,"['Animation', 'Comedy', 'Family']"
A Friend of Mine,7.5,19.0,['Drama']
Ninja III: The Domination,5.9,18.0,"['Horror', 'Action']"
The Day the Earth Stood Still,5.2,1057.0,"['Drama', 'Science Fiction', 'Thriller']"
Che: Part One,6.8,209.0,"['Drama', 'History', 'War']"
Che: Part Two,6.7,155.0,"['Drama', 'History', 'War']"
Starship Troopers 3: Marauder,4.2,154.0,"['Adventure', 'Science Fiction', 'Action']"
Dean Spanley,7.5,22.0,"['Comedy', 'Drama']"
Boomerang!,6.8,19.0,"['Crime', 'Drama']"
Nothing Like the Holidays,6.5,17.0,"['Comedy', 'Drama', 'Romance']"
Doubt,7.0,445.0,"['Drama', 'Mystery']"
Cyborg She,6.6,32.0,"['Action', 'Comedy', 'Science Fiction']"
Gran Torino,7.8,3181.0,['Drama']
Frost/Nixon,7.2,333.0,"['Drama', 'History']"
The Reader,7.2,835.0,"['Drama', 'Romance']"
Rab Ne Bana Di Jodi,6.7,64.0,"['Comedy', 'Drama', 'Romance']"
Delgo,5.4,15.0,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Science Fiction', 'Family']"
Room of Death,6.2,17.0,"['Mystery', 'Thriller', 'Crime']"
Sword of the Stranger,7.6,69.0,"['Adventure', 'Action', 'Animation']"
I've Loved You So Long,7.1,70.0,['Drama']
Seven Pounds,7.5,2092.0,['Drama']
Pin,6.6,31.0,"['Horror', 'Thriller']"
The Wrestler,7.3,1031.0,"['Drama', 'Romance']"
The Memory Keeper's Daughter,5.5,11.0,['Drama']
A Chinese Ghost Story II,6.5,26.0,"['Fantasy', 'Drama', 'Horror', 'Action', 'Comedy', 'Romance']"
The More the Merrier,5.8,14.0,"['Comedy', 'Romance']"
The Curious Case of Benjamin Button,7.3,3398.0,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']"
Yes Man,6.4,1869.0,['Comedy']
Valkyrie,6.7,1195.0,"['Drama', 'Thriller', 'History', 'War']"
Birds of America,5.9,22.0,"['Comedy', 'Drama']"
5 Centimeters per Second,7.3,403.0,"['Animation', 'Drama', 'Romance']"
War of the Worlds 2: The Next Wave,3.5,21.0,"['Action', 'Science Fiction', 'Adventure']"
Impulse,5.1,12.0,"['Mystery', 'Thriller']"
Ben X,7.0,90.0,['Drama']
Alien Raiders,5.1,61.0,"['Horror', 'Science Fiction', 'Thriller']"
Trainwreck: My Life as an Idiot,5.4,15.0,"['Drama', 'Comedy', 'Romance']"
Bedtime Stories,5.9,924.0,"['Fantasy', 'Comedy', 'Family', 'Romance']"
Manhattan Melodrama,6.3,19.0,"['Crime', 'Drama', 'Romance']"
Choke,6.0,128.0,"['Comedy', 'Drama']"
Revolutionary Road,6.8,824.0,"['Drama', 'Romance']"
Blackadder Back & Forth,7.1,54.0,"['Comedy', 'History']"
Blackadder's Christmas Carol,7.6,44.0,"['Comedy', 'History']"
Loft,7.1,71.0,"['Drama', 'Mystery', 'Romance', 'Thriller']"
"Surfer, Dude",4.7,25.0,['Comedy']
Nobel Son,6.4,29.0,"['Comedy', 'Crime', 'Drama', 'Thriller']"
Dear Zachary: A Letter to a Son About His Father,8.4,146.0,"['Crime', 'Documentary']"
Wild Child,6.4,421.0,['Comedy']
Defiance,6.7,580.0,"['Action', 'Drama', 'History', 'War']"
Zeitgeist: Addendum,7.2,79.0,"['Documentary', 'History', 'War']"
Marley & Me,6.9,1392.0,"['Comedy', 'Family']"
The Grocer's Son,6.5,13.0,"['Drama', 'Comedy']"
Jesse Stone: Night Passage,6.7,26.0,"['TV Movie', 'Drama', 'Thriller', 'Crime']"
Involuntary,6.9,19.0,"['Comedy', 'Drama']"
Ponyo,7.5,953.0,"['Animation', 'Family']"
Jack Brooks: Monster Slayer,5.8,60.0,"['Action', 'Comedy', 'Horror']"
Poultrygeist: Night of the Chicken Dead,5.9,41.0,"['Horror', 'Comedy']"
Earthsea,5.9,28.0,"['Adventure', 'Drama', 'Fantasy']"
Man with the Gun,5.8,11.0,['Western']
American Ninja 4: The Annihilation,4.8,31.0,"['Action', 'Thriller']"
Wendy and Lucy,6.4,65.0,['Drama']
Open Season 2,5.6,334.0,"['Adventure', 'Animation', 'Comedy', 'Family']"
Last Chance Harvey,6.1,69.0,"['Drama', 'Comedy', 'Romance']"
Ip Man,7.5,1309.0,"['Drama', 'Action', 'History']"
The Dungeonmaster,5.0,11.0,"['Horror', 'Fantasy', 'Thriller', 'Science Fiction', 'Mystery']"
Howling V: The Rebirth,3.9,20.0,['Horror']
Replicant,5.0,93.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Passengers,5.7,214.0,"['Drama', 'Mystery', 'Thriller', 'Romance']"
The Tale of Despereaux,5.8,260.0,"['Adventure', 'Animation', 'Family']"
Bride Wars,5.9,884.0,['Comedy']
The Gamers: Dorkness Rising,7.6,14.0,"['Adventure', 'Comedy', 'Fantasy']"
Mesrine: Killer Instinct,7.3,243.0,"['Drama', 'Action', 'Thriller', 'Crime']"
My Bloody Valentine,5.3,303.0,"['Mystery', 'Horror']"
Blood and Bones,5.7,13.0,['Drama']
Castaway,6.2,21.0,"['Adventure', 'Drama']"
Battle in Seattle,6.3,75.0,"['Action', 'Drama']"
Timecrimes,7.0,313.0,"['Science Fiction', 'Thriller']"
Fire and Ice: The Dragon Chronicles,4.5,22.0,"['Drama', 'Fantasy', 'Adventure']"
The Secret of the Grain,7.4,44.0,"['Comedy', 'Drama']"
Grbavica: The Land of My Dreams,6.9,15.0,"['Drama', 'History']"
Underworld: Rise of the Lycans,6.2,1447.0,"['Fantasy', 'Action', 'Adventure', 'Science Fiction', 'Thriller']"
Inkheart,6.0,610.0,"['Adventure', 'Family', 'Fantasy']"
Shoot on Sight,6.2,11.0,"['Crime', 'Thriller', 'Drama']"
The Alphabet Killer,5.2,50.0,"['Crime', 'Mystery', 'Thriller']"
Revenge of the Nerds III: The Next Generation,4.0,18.0,['Comedy']
Revenge of the Nerds IV: Nerds In Love,3.5,19.0,['Comedy']
Chinese Coffee,6.3,16.0,['Drama']
Save Me,5.1,11.0,['Drama']
The Lazarus Project,6.0,116.0,"['Drama', 'Thriller']"
Galaxy Express 999,6.2,12.0,"['Adventure', 'Animation', 'Science Fiction']"
Paul Blart: Mall Cop,5.2,807.0,"['Action', 'Adventure', 'Comedy', 'Family']"
Notorious,6.6,163.0,"['Drama', 'Music']"
The Unborn,4.8,373.0,"['Horror', 'Thriller', 'Mystery']"
Donkey Punch,4.5,52.0,"['Horror', 'Drama', 'Thriller', 'Crime']"
Where Is Fred?,6.1,57.0,['Comedy']
Make It Happen,5.4,75.0,"['Drama', 'Romance']"
Repo! The Genetic Opera,6.7,103.0,"['Horror', 'Comedy', 'Music', 'Science Fiction']"
The Uninvited,6.3,424.0,"['Drama', 'Horror', 'Thriller']"
Fear(s) of the Dark,6.7,15.0,"['Animation', 'Comedy', 'Drama', 'Horror', 'Mystery', 'Romance']"
12:01,6.2,33.0,"['Science Fiction', 'Thriller']"
Night Train,5.4,50.0,"['Thriller', 'Action', 'Crime']"
Kummeli Goldrush,6.8,15.0,['Comedy']
Outlander,6.1,354.0,"['Fantasy', 'Action', 'Science Fiction']"
Passchendaele,6.3,26.0,"['Drama', 'Romance', 'War', 'History']"
The Great Ecstasy of Woodcarver Steiner,7.4,16.0,['Documentary']
Go Go Tales,5.4,14.0,"['Comedy', 'Drama']"
The Grudge 3,5.3,150.0,"['Mystery', 'Horror', 'Thriller']"
Eden Lake,6.7,415.0,"['Horror', 'Thriller']"
Triumph of the Nerds: The Rise of Accidental Empires,7.5,11.0,['Documentary']
Coraline,7.3,1432.0,"['Animation', 'Family']"
Psychomania,6.5,16.0,"['Horror', 'Foreign']"
Chocolate,7.0,99.0,"['Action', 'Comedy', 'Crime']"
TerrorVision,5.8,43.0,"['Horror', 'Science Fiction', 'Thriller']"
The Escapist,6.4,79.0,"['Action', 'Thriller']"
Push,5.9,671.0,['Action']
The International,6.0,373.0,"['Drama', 'Thriller', 'Crime']"
Two Lovers,6.6,157.0,"['Drama', 'Romance']"
He's Just Not That Into You,6.2,988.0,"['Comedy', 'Romance', 'Drama']"
Jar City,6.7,20.0,"['Drama', 'Thriller', 'Crime']"
Dead Like Me: Life After Death,5.8,67.0,"['Drama', 'Fantasy', 'Comedy']"
Canyon Passage,6.8,12.0,['Western']
Husbands,6.1,16.0,"['Comedy', 'Drama']"
Singapore Sling,7.9,20.0,"['Comedy', 'Drama', 'Horror']"
Futurama: Into the Wild Green Yonder,7.2,134.0,"['Animation', 'Comedy']"
The Bandit,7.5,51.0,"['Crime', 'Drama', 'Thriller']"
Hotel for Dogs,5.7,205.0,"['Comedy', 'Family']"
Frontier(s),6.0,186.0,"['Drama', 'Horror', 'Action', 'Thriller']"
The 11th Hour,6.4,28.0,['Documentary']
Fireflies in the Garden,6.4,59.0,['Drama']
Afro Samurai: Resurrection,6.7,49.0,['Animation']
Café Lumière,6.7,16.0,['Drama']
Death by Hanging,7.5,14.0,"['Comedy', 'Crime', 'Drama', 'Foreign']"
Trancers,6.3,42.0,"['Horror', 'Science Fiction', 'Crime']"
Departures,7.7,202.0,['Drama']
Taking Chance,6.8,31.0,"['Drama', 'History', 'War']"
My Name Is Bruce,5.9,107.0,"['Comedy', 'Horror']"
The Way of War,3.5,12.0,"['Action', 'Thriller']"
Ping Pong Playa,6.0,23.0,"['Comedy', 'Drama']"
Funny People,5.6,398.0,"['Comedy', 'Drama']"
Berlin Calling,7.0,109.0,"['Comedy', 'Drama', 'Music']"
Against the Dark,3.7,42.0,"['Horror', 'Action', 'Thriller', 'Science Fiction']"
Nuremberg,7.6,23.0,"['TV Movie', 'Drama']"
Bigger Than Life,7.4,37.0,['Drama']
Red Sands,4.0,32.0,"['Action', 'Adventure', 'Drama', 'History', 'Horror']"
Still Waiting...,5.1,27.0,['Comedy']
Pistol Whipped,5.5,26.0,"['Action', 'Thriller', 'Crime', 'Drama']"
Flight of Fury,4.5,24.0,"['Action', 'Adventure', 'Thriller']"
Mystery Team,6.4,52.0,"['Comedy', 'Thriller', 'Mystery']"
A World Without Thieves,7.1,30.0,"['Action', 'Drama']"
Street Fighter: The Legend of Chun-Li,3.9,113.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Urban Justice,5.4,34.0,"['Crime', 'Action', 'Thriller']"
Tough Enough,7.2,14.0,"['Drama', 'Thriller']"
Madea Goes to Jail,6.4,52.0,"['Comedy', 'Crime', 'Drama']"
Away We Go,6.7,189.0,"['Drama', 'Comedy', 'Romance']"
Thick as Thieves,5.7,223.0,"['Action', 'Thriller', 'Crime']"
Il Grido,6.7,17.0,['Drama']
Il Divo,7.5,166.0,['Drama']
Paris,6.5,79.0,['Drama']
Friday the 13th,5.7,566.0,['Horror']
"The Good, The Bad, The Weird",7.1,196.0,"['Action', 'Adventure', 'Comedy', 'Western']"
Screamers: The Hunting,4.4,35.0,"['Action', 'Horror', 'Science Fiction']"
The Pink Panther 2,5.4,323.0,"['Comedy', 'Mystery']"
Crips and Bloods: Made in America,7.1,13.0,['Documentary']
Far Cry,3.1,73.0,"['Action', 'Science Fiction', 'Thriller']"
They Wait,5.0,30.0,"['Horror', 'Mystery', 'Thriller']"
Everlasting Moments,7.9,16.0,['Drama']
Attack Force,4.3,25.0,"['Action', 'Thriller']"
Shadow Man,4.3,26.0,"['Action', 'Adventure', 'Thriller']"
Rock-A-Doodle,5.3,46.0,"['Comedy', 'Family', 'Animation', 'Fantasy', 'Music']"
Dr. Horrible's Sing-Along Blog,7.8,236.0,"['Adventure', 'Action', 'Comedy', 'Science Fiction', 'Music']"
Today You Die,4.0,31.0,"['Action', 'Adventure', 'Thriller']"
The Cottage,6.3,80.0,"['Horror', 'Comedy', 'Crime', 'Thriller']"
Two Men in Manhattan,6.5,12.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Quick and the Dead,5.4,12.0,"['Action', 'Drama', 'Western']"
Joshua Tree,5.1,33.0,"['Action', 'Thriller']"
Day of the Dead,4.7,107.0,"['Horror', 'Action', 'Thriller']"
"I Love You, Man",6.5,531.0,['Comedy']
The Big Steal,6.3,21.0,"['Romance', 'Drama', 'Thriller', 'Crime']"
Billy Budd,7.8,13.0,"['Drama', 'Action']"
Blonde Venus,6.5,23.0,['Drama']
Dance of the Dead,6.0,66.0,"['Comedy', 'Horror']"
The Haunting in Connecticut,6.0,317.0,"['Thriller', 'Horror']"
Duplicity,5.7,203.0,"['Romance', 'Comedy', 'Crime']"
Knowing,5.9,1528.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
Sugar,6.5,12.0,['Drama']
Ong Bak 2,5.9,156.0,"['Adventure', 'Action', 'Thriller']"
The Girl with the Dragon Tattoo,7.4,1020.0,"['Drama', 'Thriller', 'Crime', 'Mystery']"
Sunshine Cleaning,6.5,256.0,"['Comedy', 'Drama']"
Kung Fu Panda: Secrets of the Furious Five,6.5,80.0,"['Animation', 'Comedy', 'Family']"
Submerged,4.0,32.0,['Action']
Stacy: Attack of the Schoolgirl Zombies,4.7,14.0,"['Horror', 'Comedy']"
Insanitarium,5.0,26.0,"['Horror', 'Thriller']"
Echelon Conspiracy,5.4,110.0,"['Action', 'Crime', 'Mystery']"
After Sex,5.2,54.0,['Comedy']
The Third Part of the Night,7.3,17.0,"['Drama', 'Horror', 'War']"
13B: Fear Has a New Address,5.7,16.0,"['Drama', 'Mystery', 'Horror', 'Thriller']"
Monsters vs Aliens,6.0,1464.0,"['Animation', 'Family', 'Adventure', 'Science Fiction']"
Boarding Gate,5.1,18.0,"['Drama', 'Thriller']"
California Dreamin',6.2,15.0,"['Drama', 'Foreign']"
Counter Investigation,7.0,69.0,['Thriller']
Sita Sings the Blues,6.9,25.0,"['Animation', 'Drama', 'Music', 'Romance']"
Naked Fear,5.4,14.0,"['Horror', 'Thriller']"
Three on a Match,6.1,18.0,"['Crime', 'Drama']"
Land of Silence and Darkness,7.5,16.0,"['Documentary', 'Foreign']"
The Baader Meinhof Complex,7.1,157.0,"['Action', 'Crime', 'Drama', 'History', 'Thriller']"
Big Stan,5.9,178.0,['Comedy']
We Live in Public,7.4,18.0,['Documentary']
Strictly Sexual,6.3,27.0,"['Drama', 'Comedy', 'Romance']"
Nothing But the Truth,6.9,134.0,"['Drama', 'Thriller']"
The Square,6.2,30.0,"['Crime', 'Drama', 'Thriller']"
The Gray Man,5.8,15.0,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Anvil! The Story of Anvil,7.7,85.0,"['Documentary', 'Music']"
Observe and Report,5.6,229.0,"['Comedy', 'Crime', 'Drama']"
Union Station,6.0,11.0,"['Drama', 'Thriller', 'Crime']"
Adventureland,6.4,748.0,['Comedy']
Scenes of a Sexual Nature,5.2,22.0,"['Comedy', 'Drama', 'Romance']"
The Cake Eaters,5.5,39.0,"['Drama', 'Romance']"
Confessions of a Shopaholic,6.1,787.0,"['Comedy', 'Romance']"
The Black Balloon,6.7,31.0,['Drama']
The Butterfly Effect 3: Revelations,5.1,158.0,"['Science Fiction', 'Thriller', 'Drama', 'Crime']"
Revanche,7.2,59.0,"['Crime', 'Drama', 'Romance']"
Cheeky,5.5,40.0,"['Comedy', 'Drama', 'Romance']"
The Lucky Ones,6.3,55.0,"['Comedy', 'Drama', 'History']"
Dragonball Evolution,2.9,475.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction', 'Thriller']"
Rest Stop,5.0,59.0,"['Horror', 'Thriller']"
The Gravedancers,5.7,50.0,"['Horror', 'Thriller']"
Broken,4.8,15.0,"['Horror', 'Thriller']"
Kiler,8.1,18.0,"['Comedy', 'Action']"
Fast & Furious,6.5,2426.0,"['Action', 'Crime', 'Drama', 'Thriller']"
City Girl,7.4,19.0,"['Drama', 'Romance']"
Sanshiro Sugata,6.0,24.0,['Drama']
The Exterminating Angels,4.8,14.0,"['Drama', 'Fantasy']"
Superstar: The Karen Carpenter Story,7.5,12.0,"['Drama', 'Music']"
A Force of One,3.6,22.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']"
Gardens of the Night,6.5,28.0,"['Crime', 'Drama']"
In the Loop,7.0,194.0,['Comedy']
Global Metal,7.6,19.0,"['Documentary', 'Music']"
What Doesn't Kill You,6.4,37.0,"['Action', 'Crime', 'Drama']"
Crime Wave,6.5,12.0,['Crime']
Escape from Fort Bravo,6.0,13.0,"['Action', 'Western']"
Ride Lonesome,6.0,29.0,"['Action', 'Western']"
The Boat That Rocked,7.2,678.0,"['Drama', 'Comedy']"
17 Again,6.1,1388.0,['Comedy']
Double Trouble,6.6,105.0,"['Action', 'Comedy']"
Inglourious Basterds,7.9,6598.0,"['Drama', 'Action', 'Thriller', 'War']"
State of Play,6.7,489.0,['Action']
Strike,7.2,29.0,['Drama']
The Damned United,7.2,156.0,['Drama']
Crank: High Voltage,5.9,878.0,"['Action', 'Thriller', 'Crime']"
Moon,7.6,1831.0,"['Science Fiction', 'Drama']"
Aamir,6.7,12.0,['Thriller']
Mammoth,6.1,41.0,"['Drama', 'Romance']"
The Young Victoria,7.1,330.0,['Drama']
Intentions of Murder,6.6,12.0,['Drama']
The Informers,4.4,60.0,['Drama']
Antique,6.2,13.0,"['Comedy', 'Foreign']"
X-Men Origins: Wolverine,6.2,4086.0,"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
The Girlfriend Experience,5.2,83.0,"['Comedy', 'Drama']"
Sin Nombre,7.3,139.0,"['Drama', 'Action', 'Thriller', 'Crime']"
