title,vote_average,vote_count,genres
Species,5.5,457.0,"['Science Fiction', 'Horror', 'Action']"
Strange Days,6.8,334.0,"['Crime', 'Drama', 'Science Fiction', 'Thriller']"
The Umbrellas of Cherbourg,7.6,119.0,"['Drama', 'Romance']"
Three Wishes,6.1,18.0,"['Drama', 'Fantasy']"
Total Eclipse,6.5,112.0,"['Drama', 'Romance']"
"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0,['Comedy']
Under Siege 2: Dark Territory,5.6,217.0,"['Action', 'Thriller']"
A Walk in the Clouds,6.5,168.0,"['Drama', 'Romance']"
Waterworld,5.9,1017.0,"['Adventure', 'Action']"
White Man's Burden,5.1,25.0,['Drama']
Wild Bill,5.9,27.0,"['Action', 'Western']"
The Browning Version,6.0,11.0,['Drama']
Bushwhacked,4.9,29.0,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']"
Burnt by the Sun,6.7,35.0,['Drama']
Before the Rain,7.7,45.0,"['Drama', 'War']"
Before Sunrise,7.7,984.0,"['Drama', 'Romance']"
Billy Madison,6.2,464.0,['Comedy']
The Babysitter,4.7,27.0,"['Drama', 'Thriller']"
Boys on the Side,6.3,48.0,"['Comedy', 'Drama']"
The Cure,7.2,58.0,"['Drama', 'Family']"
Castle Freak,5.8,40.0,"['Thriller', 'Drama', 'Horror', 'Mystery']"
Circle of Friends,6.5,30.0,"['Drama', 'Family', 'Romance']"
Clerks,7.4,769.0,['Comedy']
Don Juan DeMarco,6.3,184.0,"['Romance', 'Drama', 'Comedy']"
Disclosure,5.9,217.0,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']"
Drop Zone,5.1,91.0,"['Action', 'Adventure', 'Thriller']"
Death and the Maiden,7.1,92.0,"['Drama', 'Thriller', 'Mystery']"
Dolores Claiborne,7.1,183.0,"['Crime', 'Drama', 'Mystery']"
Dumb and Dumber,6.5,1894.0,['Comedy']
Eat Drink Man Woman,7.5,76.0,"['Comedy', 'Drama', 'Romance']"
Exotica,6.5,64.0,"['Drama', 'Mystery']"
Exit to Eden,4.3,28.0,"['Thriller', 'Comedy', 'Crime', 'Romance']"
Ed Wood,7.3,639.0,"['Comedy', 'Drama', 'History']"
French Kiss,6.2,179.0,"['Comedy', 'Romance']"
Forget Paris,6.1,38.0,"['Comedy', 'Drama', 'Romance']"
Far from Home: The Adventures of Yellow Dog,5.6,27.0,"['Action', 'Adventure', 'Drama', 'Family']"
A Goofy Movie,6.7,404.0,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']"
Hideaway,5.0,24.0,"['Drama', 'Thriller']"
Fluke,6.6,48.0,"['Drama', 'Family', 'Fantasy']"
Farinelli,5.9,20.0,"['History', 'Drama']"
Hoop Dreams,7.7,91.0,['Documentary']
Heavenly Creatures,6.9,299.0,"['Drama', 'Fantasy']"
Houseguest,6.0,17.0,"['Comedy', 'Family']"
Immortal Beloved,6.9,90.0,"['Drama', 'Music', 'Romance']"
Heavyweights,6.0,97.0,"['Comedy', 'Family', 'Drama']"
The Hunted,6.0,25.0,"['Action', 'Thriller']"
I.Q.,5.9,112.0,"['Comedy', 'Drama', 'Romance']"
Interview with the Vampire,7.2,1558.0,"['Horror', 'Romance']"
Junior,4.7,381.0,"['Comedy', 'Family', 'Romance']"
Just Cause,6.0,124.0,"['Action', 'Drama', 'Mystery', 'Thriller']"
A Kid in King Arthur's Court,4.3,40.0,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']"
Kiss of Death,5.7,83.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Star Wars,8.1,6778.0,"['Adventure', 'Action', 'Science Fiction']"
Little Women,7.0,222.0,"['Drama', 'Romance']"
A Little Princess,7.4,207.0,"['Drama', 'Family', 'Fantasy']"
Ladybird Ladybird,7.4,14.0,['Drama']
L'Enfer,6.6,22.0,"['Crime', 'Drama']"
Like Water for Chocolate,6.6,70.0,"['Drama', 'Romance']"
Legends of the Fall,7.2,636.0,"['Adventure', 'Drama', 'Romance', 'War']"
Major Payne,6.1,164.0,"['Adventure', 'Comedy', 'Family']"
Little Odessa,6.4,31.0,"['Action', 'Drama']"
Love Affair,4.3,11.0,"['Drama', 'Romance']"
Losing Isaiah,6.4,28.0,['Drama']
The Madness of King George,6.7,67.0,"['Comedy', 'Drama', 'History']"
Mary Shelley's Frankenstein,6.1,272.0,"['Drama', 'Horror', 'Science Fiction', 'Romance']"
Man of the House,5.1,40.0,"['Action', 'Comedy', 'Family']"
Mixed Nuts,5.2,37.0,"['Comedy', 'Drama', 'Romance']"
Milk Money,5.6,49.0,"['Comedy', 'Romance']"
Miracle on 34th Street,6.4,199.0,"['Fantasy', 'Drama', 'Family']"
My Family,7.0,11.0,"['Comedy', 'Drama']"
Murder in the First,6.9,140.0,"['Crime', 'Drama']"
Nobody's Fool,7.0,56.0,"['Drama', 'Comedy']"
Nell,6.1,128.0,"['Drama', 'Thriller']"
Natural Born Killers,6.9,927.0,"['Crime', 'Thriller', 'Drama']"
Only You,6.4,92.0,"['Comedy', 'Drama', 'Romance']"
Once Were Warriors,7.6,106.0,['Drama']
Poison Ivy II: Lily,4.6,32.0,"['Drama', 'Romance', 'Thriller']"
Outbreak,6.4,522.0,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
Leon: The Professional,8.2,4293.0,"['Thriller', 'Crime', 'Drama']"
Pulp Fiction,8.3,8670.0,"['Thriller', 'Crime']"
Priest,6.4,32.0,"['Drama', 'Romance']"
Quiz Show,7.1,262.0,"['History', 'Drama']"
Queen Margot,7.0,67.0,"['Drama', 'History']"
The Quick and the Dead,6.2,431.0,"['Action', 'Western']"
Prêt-à-Porter,5.3,33.0,"['Drama', 'Comedy']"
Three Colors: Red,7.8,246.0,"['Drama', 'Mystery', 'Romance']"
Three Colors: Blue,7.7,311.0,"['Drama', 'Music', 'Mystery']"
Three Colors: White,7.3,218.0,"['Comedy', 'Drama', 'Mystery']"
Rent-a-Kid,5.1,15.0,"['Comedy', 'Family', 'TV Movie']"
The Swan Princess,6.5,251.0,['Animation']
The Secret of Roan Inish,6.1,15.0,"['Drama', 'Family', 'Fantasy']"
The Specialist,5.5,317.0,"['Action', 'Thriller']"
Stargate,6.8,942.0,"['Action', 'Adventure', 'Science Fiction']"
The Santa Clause,6.3,501.0,"['Fantasy', 'Drama', 'Comedy', 'Family']"
The Shawshank Redemption,8.5,8358.0,"['Drama', 'Crime']"
Shallow Grave,7.0,247.0,"['Crime', 'Thriller']"
Strawberry and Chocolate,7.1,16.0,"['Comedy', 'Drama']"
Swimming with Sharks,6.7,104.0,"['Crime', 'Comedy']"
The Sum of Us,6.0,21.0,"['Comedy', 'Drama', 'Romance']"
Senior Trip,5.7,23.0,['Comedy']
To Live,7.7,62.0,"['Drama', 'Romance', 'War']"
Tank Girl,5.5,140.0,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']"
Tales from the Crypt: Demon Knight,6.7,96.0,"['Horror', 'Comedy', 'Thriller']"
Star Trek: Generations,6.4,461.0,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Tales from the Hood,5.4,33.0,"['Crime', 'Horror', 'Thriller']"
Village of the Damned,5.6,165.0,"['Thriller', 'Horror', 'Science Fiction']"
Tommy Boy,6.8,321.0,['Comedy']
Vanya on 42nd Street,6.1,15.0,"['Drama', 'Romance']"
The Underneath,5.6,15.0,"['Thriller', 'Crime']"
What's Eating Gilbert Grape,7.5,943.0,"['Romance', 'Drama']"
Virtuosity,5.4,163.0,"['Action', 'Crime', 'Science Fiction', 'Thriller']"
While You Were Sleeping,6.5,340.0,"['Comedy', 'Drama', 'Romance']"
The War,6.3,39.0,['Drama']
Muriel's Wedding,6.9,104.0,"['Drama', 'Comedy', 'Romance']"
The Baby-Sitters Club,5.3,23.0,"['Comedy', 'Drama', 'Family']"
Ace Ventura: Pet Detective,6.4,1684.0,"['Comedy', 'Mystery']"
"The Adventures of Priscilla, Queen of the Desert",7.2,174.0,"['Drama', 'Comedy']"
Backbeat,6.2,37.0,"['Drama', 'Music']"
Bitter Moon,7.0,115.0,"['Thriller', 'Drama', 'Romance']"
Bullets Over Broadway,7.0,130.0,"['Action', 'Comedy', 'Thriller']"
Clear and Present Danger,6.4,390.0,"['Action', 'Drama', 'Thriller']"
The Client,6.4,287.0,"['Drama', 'Thriller', 'Crime', 'Mystery']"
"Corrina, Corrina",6.4,83.0,"['Comedy', 'Drama', 'Family', 'Romance']"
Crooklyn,6.7,31.0,"['Comedy', 'Drama']"
The Crow,7.3,980.0,"['Fantasy', 'Action', 'Thriller']"
Cobb,6.1,29.0,['Drama']
The Flintstones,5.0,559.0,"['Fantasy', 'Comedy', 'Family']"
Forrest Gump,8.2,8147.0,"['Comedy', 'Drama', 'Romance']"
Four Weddings and a Funeral,6.6,654.0,"['Comedy', 'Drama', 'Romance']"
Higher Learning,6.4,49.0,"['Romance', 'Drama', 'Crime']"
I Love Trouble,5.3,41.0,"['Action', 'Comedy', 'Romance']"
It Could Happen to You,6.1,154.0,"['Comedy', 'Drama', 'Romance']"
The Jungle Book,5.9,107.0,"['Adventure', 'Drama', 'Family']"
The Lion King,8.0,5520.0,"['Family', 'Animation', 'Drama']"
Little Buddha,6.0,76.0,"['Drama', 'History']"
New Nightmare,6.4,297.0,"['Horror', 'Thriller', 'Mystery', 'Fantasy']"
The Mask,6.6,2550.0,"['Romance', 'Comedy', 'Crime', 'Fantasy']"
Maverick,6.6,490.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']"
Mrs. Parker and the Vicious Circle,6.3,20.0,['Drama']
The Naked Gun 33⅓: The Final Insult,6.4,535.0,"['Comedy', 'Crime']"
The Paper,6.1,40.0,"['Comedy', 'Drama']"
Reality Bites,6.5,180.0,['Drama']
Red Rock West,6.4,71.0,"['Crime', 'Drama', 'Thriller']"
Ri¢hie Ri¢h,5.4,426.0,"['Comedy', 'Family']"
The River Wild,6.1,214.0,"['Action', 'Adventure', 'Crime', 'Thriller']"
Speed,6.8,1814.0,"['Action', 'Adventure', 'Crime']"
Speechless,5.5,24.0,"['Comedy', 'Romance']"
Timecop,5.5,288.0,"['Thriller', 'Science Fiction', 'Action', 'Crime']"
True Lies,6.8,1138.0,"['Action', 'Thriller']"
When a Man Loves a Woman,6.0,71.0,"['Drama', 'Romance']"
Wolf,6.0,221.0,['Fantasy']
Wyatt Earp,6.5,203.0,"['Drama', 'Action', 'Western']"
Bad Company,4.9,12.0,"['Action', 'Crime', 'Romance', 'Thriller']"
S.F.W.,6.1,22.0,"['Comedy', 'Drama']"
A Low Down Dirty Shame,6.0,31.0,"['Action', 'Comedy', 'Crime']"
"Faster, Pussycat! Kill! Kill!",6.5,59.0,"['Action', 'Crime']"
Street Fighter,4.1,330.0,"['Action', 'Adventure', 'Thriller']"
Coldblooded,6.7,13.0,"['Action', 'Comedy']"
Highlander: The Final Dimension,4.5,110.0,"['Action', 'Fantasy', 'Science Fiction']"
In the Mouth of Madness,7.1,307.0,"['Horror', 'Mystery', 'Thriller']"
8 Seconds,7.2,22.0,"['Drama', 'Romance']"
Above the Rim,6.7,40.0,"['Crime', 'Drama']"
Addams Family Values,6.5,537.0,"['Comedy', 'Family', 'Fantasy']"
The Age of Innocence,7.0,172.0,"['Drama', 'Romance']"
Airheads,5.8,222.0,"['Comedy', 'Crime', 'Music']"
The Air Up There,5.1,42.0,"['Comedy', 'Family']"
Another Stakeout,4.9,58.0,"['Action', 'Comedy']"
Bad Girls,4.6,61.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']"
Barcelona,6.6,20.0,"['Comedy', 'Drama', 'Romance']"
Being Human,5.0,15.0,"['Drama', 'Comedy', 'Fantasy']"
The Beverly Hillbillies,5.0,86.0,['Comedy']
Beverly Hills Cop III,5.5,445.0,"['Action', 'Comedy', 'Crime']"
Black Beauty,6.6,68.0,"['Action', 'Adventure', 'Drama', 'Family']"
Blink,6.3,45.0,"['Mystery', 'Crime', 'Drama', 'Thriller']"
Blown Away,6.0,126.0,"['Drama', 'Action', 'Thriller']"
Blue Chips,5.7,41.0,['Drama']
Blue Sky,6.1,28.0,"['Drama', 'Romance']"
Body Snatchers,5.8,102.0,"['Horror', 'Science Fiction', 'Thriller']"
Boxing Helena,4.5,59.0,"['Drama', 'Romance']"
A Bronx Tale,7.4,447.0,"['Drama', 'Crime']"
Cabin Boy,4.9,28.0,['Comedy']
Carlito's Way,7.7,805.0,"['Action', 'Crime', 'Drama', 'Thriller']"
City Slickers II: The Legend of Curly's Gold,4.9,103.0,"['Action', 'Comedy', 'Drama', 'Western']"
Clean Slate,5.7,25.0,"['Comedy', 'Thriller', 'Mystery']"
Cliffhanger,6.1,600.0,"['Action', 'Adventure', 'Thriller']"
Coneheads,4.8,228.0,"['Comedy', 'Science Fiction', 'Family']"
Color of Night,5.4,117.0,"['Drama', 'Mystery', 'Romance', 'Thriller']"
Cops & Robbersons,5.0,36.0,"['Action', 'Comedy', 'Family']"
The Cowboy Way,5.1,38.0,"['Western', 'Action', 'Comedy']"
Dave,6.3,205.0,['Comedy']
Dazed and Confused,7.4,588.0,"['Comedy', 'Drama']"
Demolition Man,6.4,1018.0,"['Crime', 'Action', 'Science Fiction']"
The Endless Summer 2,7.1,12.0,['Documentary']
Even Cowgirls Get the Blues,4.2,29.0,"['Western', 'Drama', 'Comedy', 'Romance']"
Fatal Instinct,5.4,37.0,['Comedy']
Farewell My Concubine,7.8,98.0,['Drama']
Fearless,6.8,80.0,['Drama']
Fear of a Black Hat,5.8,11.0,['Comedy']
With Honors,6.1,54.0,"['Comedy', 'Drama']"
Flesh and Bone,6.2,22.0,"['Drama', 'Mystery', 'Romance']"
For Love or Money,5.7,77.0,"['Comedy', 'Romance']"
The Firm,6.6,513.0,"['Drama', 'Mystery', 'Thriller']"
Free Willy,6.0,429.0,"['Family', 'Adventure']"
Fresh,7.6,56.0,"['Crime', 'Drama', 'Thriller']"
